competition_name,season_name,competition_short,tournament_id,team,similar_competition_name,similar_season_name,similar_competition_short,similar_tournament_id,similar_team,similarity_score,similarity_rank
FIFA World Cup,2022,World Cup,World Cup_2022,Canada,African Cup of Nations,2023,AFCON,AFCON_2023,Algeria,71.79,5.0
FIFA World Cup,2022,World Cup,World Cup_2022,Canada,FIFA World Cup,2022,World Cup,World Cup_2022,Belgium,66.39,6.0
FIFA World Cup,2022,World Cup,World Cup_2022,Canada,FIFA World Cup,2022,World Cup,World Cup_2022,Spain,63.2,7.0
FIFA World Cup,2022,World Cup,World Cup_2022,Canada,UEFA Euro,2024,Euro,Euro_2024,Belgium,73.66,2.0
FIFA World Cup,2022,World Cup,World Cup_2022,Canada,UEFA Euro,2024,Euro,Euro_2024,Denmark,72.95,3.0
FIFA World Cup,2022,World Cup,World Cup_2022,Canada,UEFA Euro,2024,Euro,Euro_2024,England,75.56,1.0
FIFA World Cup,2022,World Cup,World Cup_2022,Canada,UEFA Euro,2024,Euro,Euro_2024,France,72.59,4.0
FIFA World Cup,2022,World Cup,World Cup_2022,Canada,UEFA Euro,2024,Euro,Euro_2024,Germany,58.78,9.0
FIFA World Cup,2022,World Cup,World Cup_2022,Canada,UEFA Euro,2024,Euro,Euro_2024,Italy,58.37,10.0
FIFA World Cup,2022,World Cup,World Cup_2022,Canada,UEFA Euro,2024,Euro,Euro_2024,Portugal,59.53,8.0
FIFA World Cup,2022,World Cup,World Cup_2022,Costa Rica,African Cup of Nations,2023,AFCON,AFCON_2023,Angola,74.91,10.0
FIFA World Cup,2022,World Cup,World Cup_2022,Costa Rica,African Cup of Nations,2023,AFCON,AFCON_2023,Tunisia,81.09,8.0
FIFA World Cup,2022,World Cup,World Cup_2022,Costa Rica,Copa America,2024,Copa América,Copa América_2024,Bolivia,82.6,6.0
FIFA World Cup,2022,World Cup,World Cup_2022,Costa Rica,Copa America,2024,Copa América,Copa América_2024,Chile,85.5,3.0
FIFA World Cup,2022,World Cup,World Cup_2022,Costa Rica,Copa America,2024,Copa América,Copa América_2024,Costa Rica,93.45,2.0
FIFA World Cup,2022,World Cup,World Cup_2022,Costa Rica,FIFA World Cup,2022,World Cup,World Cup_2022,Australia,96.23,1.0
FIFA World Cup,2022,World Cup,World Cup_2022,Costa Rica,FIFA World Cup,2022,World Cup,World Cup_2022,Cameroon,85.48,4.0
FIFA World Cup,2022,World Cup,World Cup_2022,Costa Rica,FIFA World Cup,2022,World Cup,World Cup_2022,Wales,81.84,7.0
FIFA World Cup,2022,World Cup,World Cup_2022,Costa Rica,UEFA Euro,2024,Euro,Euro_2024,Georgia,84.54,5.0
FIFA World Cup,2022,World Cup,World Cup_2022,Costa Rica,UEFA Euro,2024,Euro,Euro_2024,Scotland,77.04,9.0
FIFA World Cup,2022,World Cup,World Cup_2022,Croatia,African Cup of Nations,2023,AFCON,AFCON_2023,Mali,68.29,9.0
FIFA World Cup,2022,World Cup,World Cup_2022,Croatia,FIFA World Cup,2022,World Cup,World Cup_2022,Argentina,81.95,2.0
FIFA World Cup,2022,World Cup,World Cup_2022,Croatia,FIFA World Cup,2022,World Cup,World Cup_2022,Denmark,69.9,8.0
FIFA World Cup,2022,World Cup,World Cup_2022,Croatia,FIFA World Cup,2022,World Cup,World Cup_2022,Netherlands,73.99,6.0
FIFA World Cup,2022,World Cup,World Cup_2022,Croatia,FIFA World Cup,2022,World Cup,World Cup_2022,Spain,81.43,3.0
FIFA World Cup,2022,World Cup,World Cup_2022,Croatia,UEFA Euro,2024,Euro,Euro_2024,Croatia,80.4,4.0
FIFA World Cup,2022,World Cup,World Cup_2022,Croatia,UEFA Euro,2024,Euro,Euro_2024,England,74.37,5.0
FIFA World Cup,2022,World Cup,World Cup_2022,Croatia,UEFA Euro,2024,Euro,Euro_2024,Germany,70.02,7.0
FIFA World Cup,2022,World Cup,World Cup_2022,Croatia,UEFA Euro,2024,Euro,Euro_2024,Portugal,87.8,1.0
FIFA World Cup,2022,World Cup,World Cup_2022,Croatia,UEFA Euro,2024,Euro,Euro_2024,Spain,66.54,10.0
